2025-06-27 16:34:53.909 | ERROR    | consumer:loadmodel:96 - loadmodel: Error al cargar el modelo: No module named 'imblearn'
2025-06-27 16:53:59.007 | ERROR    | consumer:loadmodel:96 - loadmodel: Error al cargar el modelo: No module named 'imblearn'
2025-06-27 16:54:23.567 | ERROR    | consumer:loadmodel:96 - loadmodel: Error al cargar el modelo: No module named 'imblearn'
2025-06-27 16:56:31.239 | ERROR    | consumer:loadmodel:96 - loadmodel: Error al cargar el modelo: No module named 'imblearn'
2025-06-28 13:52:55.211 | INFO     | consumer_service:consume_loop:34 - Esperando mensajes de Kafka...
2025-06-28 13:52:55.214 | ERROR    | consumer_service:consume_loop:41 - Error en Kafka: KafkaError{code=UNKNOWN_TOPIC_OR_PART,val=3,str="Subscribed topic not available: fraud_transactions: Broker: Unknown topic or partition"}
2025-06-28 13:52:55.435 | INFO     | consumer_service:consume_loop:45 - Mensaje recibido: {"Category": "Other", "TransactionAmount": 83.78254216073128, "AnomalyScore": 0.38363339262092255, "Timestamp": "2022-01-31 16:27:21", "Amount": 29.307195864416414, "AccountBalance": 7931.849600363914, "LastLogin": "2024-04-05", "SuspiciousFlag": 1, "Hour": 16, "usuario_id": "5e941717-e362-4b85-865b-a4263750a184", "transaccion_id": "2b0d200e-4b4c-43f7-818e-8155743c154e"}
2025-06-28 13:52:55.672 | ERROR    | consumer_service:consume_loop:54 - Error procesando mensaje: 500: Error al procesar el mensaje: 'NoneType' object has no attribute 'feature_names_in_'
2025-06-28 13:52:56.674 | INFO     | consumer_service:consume_loop:45 - Mensaje recibido: {"Category": "Other", "TransactionAmount": 34.105869600009584, "AnomalyScore": 0.6230153467162617, "Timestamp": "2022-02-02 05:26:48", "Amount": 94.99246062398927, "AccountBalance": 1056.301180517336, "LastLogin": "2022-02-10", "SuspiciousFlag": 1, "Hour": 14, "usuario_id": "406dd4d1-c6c6-4e87-8f98-96fb21baba36", "transaccion_id": "071f56a4-a84b-413c-b539-d009ed8192e2"}
2025-06-28 13:52:56.677 | ERROR    | consumer_service:consume_loop:54 - Error procesando mensaje: 500: Error al procesar el mensaje: 'NoneType' object has no attribute 'feature_names_in_'
2025-06-28 13:52:57.678 | INFO     | consumer_service:consume_loop:45 - Mensaje recibido: {"Category": "Other", "TransactionAmount": 30.997037276698947, "AnomalyScore": 0.7903611447433179, "Timestamp": "2022-01-20 23:54:03", "Amount": 32.68683389197544, "AccountBalance": 6345.612434426407, "LastLogin": "2024-05-27", "SuspiciousFlag": 1, "Hour": 1, "usuario_id": "a28bf1d7-4449-47e6-8d71-3f53f8a0b786", "transaccion_id": "35db32ee-c06f-48d4-87f2-46d1c7364cbc"}
2025-06-28 13:52:57.681 | ERROR    | consumer_service:consume_loop:54 - Error procesando mensaje: 500: Error al procesar el mensaje: 'NoneType' object has no attribute 'feature_names_in_'
