Category|TransactionAmount|AnomalyScore|Amount|AccountBalance|SuspiciousFlag|Hour|gap|DayOfWeek|Month|TransactionAmountRelativeToBalance|BalancePostTransaction|IsWeekend
2|79,41360746377397|0,6866994638180963|55,53033442986919|2869,689912187824|0|0|951|5|1|0,027673236444989206|2790,27630472405|1
1|12,053087153568082|0,0817488708011465|12,881180192784145|9527,947107479318|0|1|26|5|1|0,0012650245659011437|9515,89402032575|1
4|33,31035719105734|0,0238568301053087|50,17632151706568|9288,355524766564|0|2|954|5|1|0,003586249159201354|9255,045167575507|1
4|46,12111728963105|0,8769943477359176|41,63400105303006|5588,049941710766|0|3|795|5|1|0,008253526323265321|5541,928824421135|1
2|54,05161801340517|0,0340587726731107|78,12285326574603|7324,785331781815|0|4|945|5|1|0,007379276738511142|7270,73371376841|1
0|34,54513807247706|0,1211728992013775|86,94708413376785|3152,247786827239|0|5|203|5|1|0,010958890419984083|3117,702648754762|1
0|55,383112817522296|0,1098916756547063|51,1470964781812|9253,478916937507|0|6|310|5|1|0,005985112552226105|9198,095804119985|1
4|17,855877857196635|0,7805342072486868|56,16398430834813|8765,03586083079|0|7|692|5|1|0,002037171112669489|8747,179982973594|1
3|75,65994449829373|0,0104709053716154|37,182411723100415|8935,00714558585|0|8|346|5|1|0,008467810183640637|8859,347201087558|1
2|67,93187884012292|0,0293762699375884|17,245409041786953|5541,197921465388|0|9|573|5|1|0,01225942112209522|5473,266042625265|1
2|23,89562271190145|0,0834553954788118|86,18094790838266|4344,549864306991|0|10|423|5|1|0,005500137749187301|4320,65424159509|1
0|17,797222024189402|0,4517349450635481|95,55400891993546|2670,1130146853484|0|11|301|5|1|0,006665344098285916|2652,315792661159|1
2|64,78165788186897|0,4448031201651125|47,13851441157395|2685,9423652780533|0|12|320|5|1|0,024118781817257146|2621,1607073961845|1
4|43,691459478352925|0,9973396329012194|98,80425008117196|6735,159471122309|0|13|699|5|1|0,006487071266194151|6691,468011643956|1
2|35,45084414311964|0,8279264002423734|99,83263446243002|2685,9423652780533|0|14|320|5|1|0,013198661520590635|2650,4915211349335|1
2|47,62737483292299|0,4559473695840319|20,735039147246727|1847,3263923843544|0|15|462|5|1|0,025781786602122905|1799,6990175514316|1
2|83,80043412877465|0,0786169688869532|44,54511885107208|7989,117483166383|0|16|961|5|1|0,010489323045423715|7905,317049037609|1
4|67,01973545243015|0,5328202953043202|27,05493666999777|9960,172528289351|0|17|853|5|1|0,006728772545061598|9893,152792836921|1
0|79,67952921186595|0,2520122859524184|13,615519156393288|8326,14998923507|0|18|650|5|1|0,009569792679075456|8246,470460023203|1
4|23,12632324762183|0,2791586079368224|20,80228963510888|9103,487493642171|0|19|714|5|1|0,002540380624872955|9080,36117039455|1
4|60,70535435436163|0,6759407120991201|36,04360521851923|8830,49151334518|0|20|723|5|1|0,0068745159046492465|8769,786158990817|1
1|53,84670686845873|0,1242284781235212|99,1004273987159|7288,036637655037|0|21|116|5|1|0,007388369398453543|7234,189930786579|1
4|15,579538194663694|0,1953263896357612|85,4201781893225|8486,464783345322|0|22|612|5|1|0,0018358101509168485|8470,885245150657|1
3|13,386777836538998|0,6172898016719134|84,05328458627297|7833,796203088414|0|23|642|5|1|0,0017088493866181207|7820,409425251874|1
4|98,4640558012606|0,2443530379310863|50,258612452465634|4384,800511892174|0|0|786|6|1|0,022455766353386596|4286,336456090913|1
2|95,19370554798026|0,4870702896864038|52,593928648769634|1820,9385858995977|0|1|249|6|1|0,052277274085524274|1725,7448803516174|1
2|77,5092196540028|0,4227359977610908|20,48932094343152|9934,498596865016|0|2|958|6|1|0,007802026332608476|9856,989377211014|1
1|51,77113770450813|0,838064383449069|12,397442736592344|4845,969183660771|0|3|185|6|1|0,010683340265362329|4794,198045956263|1
2|73,08040768249539|0,4633405713676668|25,334803493141827|4584,987687518285|0|4|119|6|1|0,015939063016775862|4511,90727983579|1
3|83,8842181328395|0,6466000102947055|70,07512697850342|7288,036637655037|0|5|115|6|1|0,011509851322568222|7204,152419522198|1
0|59,9638046074686|0,0286451504049212|92,6193029775784|2805,3119964226125|0|6|473|6|1|0,021375092925113352|2745,3481918151438|1
1|64,82555289198555|0,1139557066719609|77,7269441692719|8330,438296145094|0|7|991|6|1|0,0077817697685827105|8265,612743253108|1
2|16,31638922256401|0,7904919847795615|59,3509900357369|3767,55788843177|0|8|28|6|1|0,004330760058833664|3751,2414992092063|1
3|74,89233384628318|0,496141397087933|61,34763595275774|3038,909606871837|0|9|114|6|1|0,024644475662234364|2964,0172730255535|1
1|63,48108383812917|0,0234248603939667|60,47401632791208|7624,565426838614|0|10|674|6|1|0,008325862561907406|7561,084343000485|1
3|55,0748944700021|0,1056184269218054|42,20773347952953|6742,168051456645|0|11|545|6|1|0,008168721700448148|6687,093156986643|1
0|15,85588970150042|0,1173613685668951|71,26856791663724|3545,727576422631|0|12|525|6|1|0,004471829648429394|3529,8716867211306|1
3|35,25955889294103|0,682579996111541|46,214982406953474|2934,8098384758123|0|13|85|6|1|0,012014256743548677|2899,550279582871|1
2|53,30527210965001|0,9384845538305628|14,63168948637222|5655,630625853387|0|14|205|6|1|0,00942516858614802|5602,325353743737|1
2|89,31329987617828|0,5326091267272046|80,53777562959479|5402,920850264518|0|15|36|6|1|0,01653055862771072|5313,607550388339|1
2|13,156789554321756|0,3194777655854669|47,874851353915766|6631,372808065945|0|16|798|6|1|0,001984022001947884|6618,216018511623|1
3|39,31008128591371|0,2149458399121594|85,10981610829299|7685,510723404021|0|17|508|6|1|0,005114830061482592|7646,200642118107|1
1|62,40210028810944|0,5672705382841227|55,81926585658818|1693,073845531838|0|18|102|6|1|0,03685728206882041|1630,6717452437285|1
0|88,11638357233643|0,7663300041347579|86,97191973785533|4853,024379784787|0|19|998|6|1|0,01815700410230456|4764,907996212451|1
1|29,203181435601817|0,7076318867164036|69,75758075212585|3307,317156281388|1|20|642|6|1|0,008829870271176737|3278,1139748457863|1
