Category,TransactionAmount,AnomalyScore,Timestamp,Amount,AccountBalance,LastLogin,SuspiciousFlag,Hour
Other,79.41360746377397,0.6866994638180963,2022-01-01 00:00:00,55.53033442986919,2869.689912187824,2024-08-09,0,0
Online,12.053087153568082,0.0817488708011465,2022-01-01 01:00:00,12.881180192784145,9527.947107479318,2022-01-27,0,1
Travel,33.31035719105734,0.0238568301053087,2022-01-01 02:00:00,50.17632151706568,9288.355524766564,2024-08-12,0,2
Travel,46.12111728963105,0.8769943477359176,2022-01-01 03:00:00,41.63400105303006,5588.049941710766,2024-03-06,0,3
Other,54.05161801340517,0.0340587726731107,2022-01-01 04:00:00,78.12285326574603,7324.785331781815,2024-08-03,0,4
Food,34.54513807247706,0.1211728992013775,2022-01-01 05:00:00,86.94708413376785,3152.247786827239,2022-07-23,0,5
Food,55.383112817522296,0.1098916756547063,2022-01-01 06:00:00,51.1470964781812,9253.478916937507,2022-11-07,0,6
Travel,17.855877857196635,0.7805342072486868,2022-01-01 07:00:00,56.16398430834813,8765.03586083079,2023-11-24,0,7
Retail,75.65994449829373,0.0104709053716154,2022-01-01 08:00:00,37.182411723100415,8935.00714558585,2022-12-13,0,8
Other,67.93187884012292,0.0293762699375884,2022-01-01 09:00:00,17.245409041786953,5541.197921465388,2023-07-28,0,9
Other,23.89562271190145,0.0834553954788118,2022-01-01 10:00:00,86.18094790838266,4344.549864306991,2023-02-28,0,10
Food,17.797222024189402,0.4517349450635481,2022-01-01 11:00:00,95.55400891993546,2670.1130146853484,2022-10-29,0,11
Other,64.78165788186897,0.4448031201651125,2022-01-01 12:00:00,47.13851441157395,2685.9423652780533,2022-11-17,0,12
Travel,43.691459478352925,0.9973396329012194,2022-01-01 13:00:00,98.80425008117196,6735.159471122309,2023-12-01,0,13
Other,35.45084414311964,0.8279264002423734,2022-01-01 14:00:00,99.83263446243002,2685.9423652780533,2022-11-17,0,14
Other,47.62737483292299,0.4559473695840319,2022-01-01 15:00:00,20.735039147246727,1847.3263923843544,2023-04-08,0,15
Other,83.80043412877465,0.0786169688869532,2022-01-01 16:00:00,44.54511885107208,7989.117483166383,2024-08-19,0,16
Travel,67.01973545243015,0.5328202953043202,2022-01-01 17:00:00,27.05493666999777,9960.172528289351,2024-05-03,0,17
Food,79.67952921186595,0.2520122859524184,2022-01-01 18:00:00,13.615519156393288,8326.14998923507,2023-10-13,0,18
Travel,23.12632324762183,0.2791586079368224,2022-01-01 19:00:00,20.80228963510888,9103.487493642171,2023-12-16,0,19
Travel,60.70535435436163,0.6759407120991201,2022-01-01 20:00:00,36.04360521851923,8830.49151334518,2023-12-25,0,20
Online,53.84670686845873,0.1242284781235212,2022-01-01 21:00:00,99.1004273987159,7288.036637655037,2022-04-27,0,21
Travel,15.579538194663694,0.1953263896357612,2022-01-01 22:00:00,85.4201781893225,8486.464783345322,2023-09-05,0,22
Retail,13.386777836538998,0.6172898016719134,2022-01-01 23:00:00,84.05328458627297,7833.796203088414,2023-10-05,0,23
Travel,98.4640558012606,0.2443530379310863,2022-01-02 00:00:00,50.258612452465634,4384.800511892174,2024-02-27,0,0
Other,95.19370554798026,0.4870702896864038,2022-01-02 01:00:00,52.593928648769634,1820.9385858995977,2022-09-08,0,1
Other,77.5092196540028,0.4227359977610908,2022-01-02 02:00:00,20.48932094343152,9934.498596865016,2024-08-17,0,2
Online,51.77113770450813,0.838064383449069,2022-01-02 03:00:00,12.397442736592344,4845.969183660771,2022-07-06,0,3
Other,73.08040768249539,0.4633405713676668,2022-01-02 04:00:00,25.334803493141827,4584.987687518285,2022-05-01,0,4
Retail,83.8842181328395,0.6466000102947055,2022-01-02 05:00:00,70.07512697850342,7288.036637655037,2022-04-27,0,5
Food,59.9638046074686,0.0286451504049212,2022-01-02 06:00:00,92.6193029775784,2805.3119964226125,2023-04-20,0,6
Online,64.82555289198555,0.1139557066719609,2022-01-02 07:00:00,77.7269441692719,8330.438296145094,2024-09-19,0,7
Other,16.31638922256401,0.7904919847795615,2022-01-02 08:00:00,59.3509900357369,3767.55788843177,2022-01-30,0,8
Retail,74.89233384628318,0.496141397087933,2022-01-02 09:00:00,61.34763595275774,3038.909606871837,2022-04-26,0,9
Online,63.48108383812917,0.0234248603939667,2022-01-02 10:00:00,60.47401632791208,7624.565426838614,2023-11-07,0,10
Retail,55.0748944700021,0.1056184269218054,2022-01-02 11:00:00,42.20773347952953,6742.168051456645,2023-07-01,0,11
Food,15.85588970150042,0.1173613685668951,2022-01-02 12:00:00,71.26856791663724,3545.727576422631,2023-06-11,0,12
Retail,35.25955889294103,0.682579996111541,2022-01-02 13:00:00,46.214982406953474,2934.8098384758123,2022-03-28,0,13
Other,53.30527210965001,0.9384845538305628,2022-01-02 14:00:00,14.63168948637222,5655.630625853387,2022-07-26,0,14
Other,89.31329987617828,0.5326091267272046,2022-01-02 15:00:00,80.53777562959479,5402.920850264518,2022-02-07,0,15
Other,13.156789554321756,0.3194777655854669,2022-01-02 16:00:00,47.874851353915766,6631.372808065945,2024-03-10,0,16
Retail,39.31008128591371,0.2149458399121594,2022-01-02 17:00:00,85.10981610829299,7685.510723404021,2023-05-25,0,17
Online,62.40210028810944,0.5672705382841227,2022-01-02 18:00:00,55.81926585658818,1693.073845531838,2022-04-14,0,18
Food,88.11638357233643,0.7663300041347579,2022-01-02 19:00:00,86.97191973785533,4853.024379784787,2024-09-26,0,19
Online,29.203181435601817,0.7076318867164036,2022-01-02 20:00:00,69.75758075212585,3307.317156281388,2023-10-06,1,20
Online,15.0314207539817,0.9923378496402676,2022-01-02 21:00:00,79.35791579481321,8228.897853132457,2022-08-26,0,21
Food,64.0550437068745,0.531697063932589,2022-01-02 22:00:00,72.74250983074938,6608.386988413693,2024-01-29,0,22
Travel,37.31484596425175,0.0322402678558125,2022-01-02 23:00:00,17.6405694778187,8791.304688526334,2024-09-20,0,23
Other,11.93959323128237,0.0061201141369274,2022-01-03 00:00:00,30.793728080558463,6552.420255282427,2024-01-22,0,0
Online,17.91599331862236,0.0447252918925693,2022-01-03 01:00:00,61.35297940106928,9258.31269753691,2023-02-19,0,1
Retail,28.42012347274126,0.9181560081146742,2022-01-03 02:00:00,42.07616320785515,5084.274000658554,2022-02-13,0,2
Retail,95.91411492767848,0.0555455780239428,2022-01-03 03:00:00,90.81333790562653,2897.001043526318,2023-01-09,0,3
Food,44.00543975418234,0.5687201877502441,2022-01-03 04:00:00,42.08401695356378,7264.807041213747,2022-12-11,0,4
Online,39.083675731208,0.1116274550577005,2022-01-03 05:00:00,87.77609114158098,1308.3817367590414,2023-11-11,0,5
Other,79.91319162474862,0.6294201752731601,2022-01-03 06:00:00,62.13088122838467,8236.476448026788,2022-02-12,0,6
Retail,99.39547482554184,0.5047562252447003,2022-01-03 07:00:00,83.1517552203441,3612.869037587848,2023-09-03,0,7
Travel,98.02129252071374,0.7124860792029184,2022-01-03 08:00:00,49.723786313021925,1670.4930903743175,2023-12-05,0,8
Food,85.97846399845285,0.6232913655459015,2022-01-03 09:00:00,13.081741283544147,9246.516979425342,2023-02-09,0,9
Food,61.369965594477215,0.6889460878176792,2022-01-03 10:00:00,28.62756065487808,7545.026042634955,2022-06-10,0,10
Retail,56.39017672096056,0.7012128117494796,2022-01-03 11:00:00,82.91599923239106,9996.99152465927,2022-12-02,0,11
Travel,52.224587954587946,0.3817522806168361,2022-01-03 12:00:00,76.11459127700137,8792.09709915188,2023-12-15,0,12
Travel,88.00863507425593,0.4478817547460879,2022-01-03 13:00:00,66.56159118369223,4468.344079407905,2024-05-14,0,13
Other,22.41233395120337,0.7690132128559298,2022-01-03 14:00:00,50.51711429707575,4756.907985455394,2023-12-03,0,14
Online,10.967550794864708,0.3391291866143247,2022-01-03 15:00:00,55.162744952494926,7541.198868921577,2023-04-28,0,15
Other,74.80049283184198,0.0951938957139624,2022-01-03 16:00:00,78.33451388591148,3039.5142047755826,2022-05-19,0,16
Other,16.34857049322759,0.1072906870387059,2022-01-03 17:00:00,51.4144879788989,7794.946321991311,2022-04-18,0,17
Retail,59.48591943885853,0.169625926112435,2022-01-03 18:00:00,81.34788954135908,3507.492645445045,2022-02-25,0,18
Other,64.68870798615711,0.5467204678243731,2022-01-03 19:00:00,95.23140544260824,4483.156300402189,2023-07-02,0,19
Retail,40.11881406202277,0.7132956071476505,2022-01-03 20:00:00,87.15831942631942,3976.339147069369,2024-06-05,0,20
Other,33.18694249951406,0.2189393885632597,2022-01-03 21:00:00,78.69681169305915,2518.7388735597933,2024-06-15,0,21
Online,64.24073572319557,0.5521439297775538,2022-01-03 22:00:00,23.80623682022744,5544.569288667391,2022-06-03,0,22
Online,53.91674221753586,0.1617728586912705,2022-01-03 23:00:00,57.31615922446038,7665.932450291637,2022-10-13,0,23
Travel,55.60426363765741,0.6860135687546838,2022-01-04 00:00:00,67.92604330939866,7990.335619571962,2022-05-29,0,0
Travel,95.54621197153052,0.957373586986144,2022-01-04 01:00:00,16.26344880319616,5037.207239014824,2022-06-07,0,1
Other,25.73509604902587,0.7842947190605576,2022-01-04 02:00:00,13.42002255353782,4152.721122244118,2023-08-29,0,2
Food,92.0899205881348,0.4885878004048138,2022-01-04 03:00:00,42.76855554669151,6987.997844391333,2023-02-26,0,3
Travel,66.15215047728688,0.2178905074792401,2022-01-04 04:00:00,41.21158341874049,2957.760054296896,2022-01-07,0,4
Other,70.84820400902817,0.3941309112302433,2022-01-04 05:00:00,58.13859005804491,3816.962495092046,2024-09-11,0,5
Online,65.46874682566187,0.6085123427185402,2022-01-04 06:00:00,14.634664157422302,3715.769255207644,2024-02-15,0,6
Retail,25.27309509866829,0.0255585901176547,2022-01-04 07:00:00,19.137591520992626,5766.570781258057,2022-06-08,0,7
Travel,54.43074953579532,0.2007991959678334,2022-01-04 08:00:00,29.83486576041774,5703.042829615882,2023-05-08,0,8
Online,89.92128590628081,0.084979207388952,2022-01-04 09:00:00,38.43137755298227,9411.508716680992,2022-11-18,0,9
Food,70.5533611534697,0.0148769296562688,2022-01-04 10:00:00,18.110761868902294,5275.9454658434415,2024-01-01,0,10
Online,11.760532784436789,0.8500908746590535,2022-01-04 11:00:00,22.97242859349798,8278.713188445914,2024-05-25,0,11
Retail,47.90428072026375,0.8858380254109788,2022-01-04 12:00:00,22.45289288099517,3434.612874956465,2024-07-08,0,12
Retail,30.12257414785566,0.6619170473823522,2022-01-04 13:00:00,70.51131966791718,6741.429339282374,2023-09-10,0,13
Retail,59.06169368651467,0.7086399710261254,2022-01-04 14:00:00,78.55221406635722,2873.839987462341,2022-02-23,0,14
